user_id,click_top20,like_top20
56,"284,28,86,117,172,157,306,506,1107,438,510,670,318,316,1,69,165,98,114,128","284,86,28,117,172,157,306,506,510,1107,438,318,316,670,1,69,165,98,114,128"
57,"542,791,734,513,353,861,264,789,318,500,950,520,4,244,940,1713,5,44,518,832","791,318,500,542,353,264,734,789,244,44,513,950,516,861,4,316,832,886,5,455"
58,"663,219,260,117,41,20,587,161,601,184,176,604,539,124,734,113,897,677,560,738","663,219,260,117,41,20,184,161,587,601,176,124,539,604,734,113,560,897,677,1299"
59,"1254,670,24,487,42,435,382,717,52,506,200,129,694,586,207,1241,85,171,634,245","1254,670,24,487,435,42,382,717,52,200,129,506,586,207,1241,85,694,171,634,245"
60,"265,59,196,167,152,161,515,79,896,892,93,151,114,133,568,63,49,28,648,117","59,265,167,196,161,152,515,79,896,892,93,114,151,133,63,49,28,1146,542,648"
61,"920,70,520,861,502,268,388,95,877,328,892,546,652,179,873,523,4,1169,950,1936","70,920,520,861,502,4,268,388,892,95,877,546,179,909,652,873,532,513,328,523"
62,"1587,1332,144,1071,40,1406,140,438,1529,530,1024,1353,48,1050,143,211,449,387,24,521","1587,1332,144,1071,40,1406,438,140,1529,530,1024,48,1353,1050,24,143,449,211,521,387"
63,"500,791,4,542,518,832,1201,950,5,185,886,838,534,867,513,517,350,861,920,1158","500,4,542,791,5,185,832,518,534,1201,950,513,867,920,350,373,517,886,1713,838"
64,"61,114,133,190,98,278,734,63,513,377,539,45,274,161,125,105,5,41,152,219","61,114,133,190,98,278,734,513,63,539,377,161,45,274,125,5,105,219,41,152"
65,"152,93,61,63,98,65,45,124,129,6,117,157,539,168,218,245,24,69,247,897","152,93,63,61,98,65,45,6,129,124,117,539,157,218,168,245,24,69,897,156"
66,"5,734,51,41,353,219,274,61,513,34,190,789,39,238,185,244,532,278,135,65","5,734,51,41,61,190,219,274,39,65,133,98,278,34,513,6,135,23,353,45"
67,"106,421,154,1,429,630,560,767,10,1467,1546,42,88,1587,435,1099,720,1071,670,1254","106,421,154,1,429,630,560,1467,767,10,1546,42,88,1587,435,1099,720,1071,670,1254"
68,"536,85,382,51,316,1,178,421,500,1349,274,41,506,322,10,219,670,798,24,23","536,382,51,85,316,1,421,178,506,500,1349,41,322,274,10,670,24,219,247,393"
69,"1107,40,86,384,284,168,68,306,260,438,506,24,471,52,526,247,39,60,445,135","1107,86,40,384,284,168,68,260,438,306,24,506,52,471,526,247,39,60,135,42"
70,"238,500,51,244,513,791,534,264,39,518,525,455,1713,350,44,832,288,306,940,61","238,500,51,244,791,513,39,525,264,534,455,518,306,44,832,135,1201,41,1713,350"
71,"69,238,734,542,513,61,5,278,407,39,133,98,51,190,532,105,93,789,318,65","238,69,734,542,61,513,278,407,5,133,190,98,51,39,93,63,532,65,1713,49"
72,"117,41,51,5,382,316,291,39,177,168,516,353,49,6,24,28,69,383,274,93","117,382,41,51,5,383,177,291,316,28,168,39,24,284,129,49,245,6,516,52"
73,"59,278,1076,542,809,515,1059,844,644,897,1146,45,127,892,151,323,39,789,353,219","59,278,1076,542,809,515,1059,844,897,644,1146,45,127,892,151,323,39,789,353,219"
74,"1,24,421,322,435,68,168,135,260,129,105,767,185,487,39,506,49,662,175,85","1,24,421,68,322,168,260,435,135,129,767,105,487,185,506,39,662,175,1107,49"
75,"809,924,657,739,552,1334,515,1028,940,15,881,1182,784,402,769,617,691,219,738,933","809,924,657,739,552,1334,1028,515,940,15,784,881,1182,769,402,617,691,738,933,219"
76,"185,24,306,316,49,284,506,93,117,510,28,382,172,500,4,516,152,670,1,98","185,24,306,316,49,284,506,93,117,510,28,382,172,152,500,4,670,1,257,516"
77,"500,525,518,516,832,542,520,306,244,238,5,44,407,264,534,351,51,1201,734,436","500,525,516,542,238,244,832,518,44,520,306,5,407,264,534,734,351,51,1201,39"
78,"942,46,548,11,532,1692,16,169,413,536,8,284,1195,14,730,42,397,336,610,401","942,46,532,536,1692,548,11,16,413,8,169,610,426,284,767,1195,14,540,336,730"
79,"4,69,532,318,525,832,39,500,407,44,436,185,105,791,264,455,51,940,734,373","69,4,532,318,39,525,407,832,791,500,264,44,105,185,734,940,542,51,5,455"
80,"135,105,190,168,382,284,133,61,6,128,152,245,125,27,185,734,45,69,23,247","135,105,168,190,133,382,284,61,152,6,245,128,125,27,45,247,265,185,23,274"
81,"339,662,670,663,744,237,995,719,547,1159,10,207,1467,214,720,106,97,1349,1093,1196","339,670,662,663,744,995,237,547,1159,214,719,1467,207,10,97,210,1093,720,1349,137"
82,"265,49,260,79,157,61,897,172,433,284,243,196,65,323,318,125,185,327,128,117","265,49,260,79,157,61,172,897,433,284,243,196,65,318,323,327,125,185,117,128"
83,"532,238,789,41,332,542,61,940,185,34,190,114,500,407,316,65,133,232,98,536","532,238,789,41,332,61,542,940,185,34,190,114,500,407,316,65,133,98,536,232"
84,"98,190,63,278,23,27,214,274,161,211,219,377,39,734,129,744,105,670,247,79","98,190,63,278,23,27,214,274,161,211,377,219,39,734,744,129,105,670,247,79"
85,"407,542,1713,318,5,264,734,513,532,353,791,789,861,306,920,39,70,350,518,51","407,542,1713,861,318,532,264,791,350,518,920,353,789,832,500,455,513,525,502,70"
86,"11,539,5,34,93,51,133,278,172,41,98,27,161,219,513,45,529,63,49,69","11,539,5,34,278,51,93,133,172,513,161,98,41,219,27,529,45,63,69,49"
87,"435,79,670,63,715,547,247,114,65,1229,1110,61,190,210,260,712,52,129,59,744","79,63,715,435,670,114,65,61,210,161,190,644,1229,59,712,247,1110,547,433,278"
88,"247,129,85,245,68,135,105,42,10,175,207,260,382,6,125,23,27,45,8,39","247,10,129,175,85,135,42,245,382,105,68,207,6,27,125,23,260,45,39,8"
89,"105,6,65,128,125,45,23,93,274,98,185,114,39,190,133,85,247,129,41,135","105,135,6,41,39,128,129,93,117,247,185,65,52,125,23,45,168,172,85,670"
90,"327,149,146,196,121,79,306,438,291,434,317,60,245,69,256,983,241,896,118,471","327,149,196,146,121,291,79,306,317,69,438,245,434,60,256,433,542,471,983,241"
91,"207,8,798,1299,393,767,771,169,85,757,16,1062,200,1121,1298,756,276,20,117,601","207,8,798,1299,393,767,169,771,85,757,16,1062,200,1298,1121,756,276,20,117,1311"
92,"940,1692,61,1182,284,1524,607,539,65,861,1334,989,691,21,336,45,49,657,125,161","940,1692,61,1524,1182,284,607,539,65,861,1334,989,45,336,21,691,49,161,657,125"
93,"156,87,644,134,1019,647,763,118,739,897,749,631,252,841,93,539,734,121,930,91","156,87,644,134,647,1019,763,739,631,749,118,252,897,841,734,539,93,930,121,642"
94,"604,995,97,432,744,1159,210,663,759,1242,214,219,278,295,612,27,715,377,601,592","604,995,432,97,744,1159,210,663,759,1242,219,278,295,214,27,612,377,715,592,45"
95,"146,245,260,39,129,168,105,247,24,69,41,128,61,65,6,211,712,273,281,86","146,39,245,168,129,105,260,69,41,247,24,28,61,65,128,86,6,281,161,273"
96,"105,670,128,260,382,27,281,28,284,114,157,98,274,190,435,421,169,548,1107,438","382,105,670,128,28,281,260,27,284,157,114,421,98,190,435,274,438,1107,548,169"
97,"322,630,767,612,1254,175,48,237,1,106,720,1159,719,663,1241,200,1196,598,744,717","322,630,767,612,1254,175,48,237,1,106,720,1159,663,719,1241,200,1196,598,744,717"
98,"219,45,23,6,27,128,125,114,61,190,274,218,10,41,210,98,187,278,133,715","219,6,45,27,23,128,125,114,190,61,41,10,274,98,218,133,734,93,85,187"
99,"5,532,39,500,734,318,353,306,789,172,284,28,525,129,247,244,114,52,44,274","5,39,532,500,734,353,318,306,172,789,284,28,129,247,525,52,114,506,244,274"
100,"63,79,211,152,218,98,265,156,196,712,433,644,215,278,210,118,1019,897,91,1229","63,211,79,152,218,98,265,712,644,278,210,196,156,433,23,27,215,129,897,172"
101,"187,156,79,196,433,588,152,87,134,606,278,206,118,151,1019,844,93,1076,897,896","187,156,79,196,433,588,87,134,606,152,278,206,118,151,844,1019,1076,93,896,897"
102,"500,51,39,832,542,407,516,247,536,789,518,24,520,350,49,260,93,129,52,455","500,832,51,407,542,39,536,518,520,350,516,30,247,789,1106,455,174,22,24,733"
103,"61,265,897,278,892,539,203,1146,252,844,542,238,218,127,187,211,91,323,215,715","61,265,897,278,892,203,252,844,1146,539,542,238,127,218,91,187,211,323,215,763"
104,"69,238,500,532,542,244,4,316,51,513,525,264,407,39,44,455,534,733,832,520","238,69,500,542,532,244,4,316,513,264,407,525,44,51,534,455,520,39,733,518"
105,"211,218,79,63,128,93,744,712,61,190,588,247,140,663,161,23,27,129,215,52","211,218,63,79,128,744,712,93,61,190,588,215,161,140,663,1019,23,247,212,27"
106,"175,10,42,106,382,421,46,393,48,767,415,506,694,418,1,662,117,3,426,8","42,175,10,106,382,421,393,46,767,48,1,506,117,694,415,8,662,418,207,24"
107,"630,435,1254,106,48,767,200,1467,97,1546,137,112,771,840,214,995,1731,1093,160,210","630,435,1254,106,48,767,200,1467,97,1546,137,112,771,840,214,1731,995,160,24,1093"
108,"734,278,219,61,98,45,65,133,238,190,274,125,39,27,93,210,128,51,5,6","734,278,238,61,98,219,45,65,133,39,274,190,125,210,93,185,128,744,218,51"
109,"219,207,6,27,20,643,85,274,8,46,663,176,97,744,51,756,210,169,425,604","219,6,207,27,20,643,85,8,274,46,663,176,97,744,756,210,51,169,218,178"
110,"433,152,256,377,196,265,892,146,63,542,318,133,79,59,93,49,98,906,86,327","433,152,256,196,377,265,146,892,63,79,542,133,59,318,93,98,49,906,161,86"
111,"281,28,438,135,284,24,40,52,506,382,86,105,157,68,222,93,41,177,505,327","281,28,438,284,135,506,40,382,24,52,86,222,105,68,157,505,177,327,306,41"
112,"15,10,46,532,154,2,727,586,421,604,18,322,663,47,426,612,415,22,742,27","15,10,46,154,532,2,727,586,18,421,604,47,426,322,663,415,22,612,742,3"
113,"542,278,61,734,539,252,529,63,652,203,791,861,930,264,134,1015,93,741,120,95","278,542,61,734,539,63,252,529,652,93,791,203,134,264,930,39,1015,861,741,5"
114,"15,51,9,332,219,38,1692,17,35,1524,16,274,734,36,604,135,924,415,284,154","9,15,51,332,38,219,17,1692,35,604,36,1524,734,924,274,16,559,1046,390,415"
115,"734,513,278,542,61,98,133,407,377,39,190,5,791,93,63,318,353,65,323,51","734,513,278,542,61,98,133,39,377,5,791,190,407,318,93,185,353,51,65,63"
116,"734,244,542,278,264,940,861,5,288,532,854,332,741,51,838,360,1015,61,950,516","734,278,741,61,542,244,5,288,87,264,156,1015,861,190,529,114,161,854,133,98"
117,"739,278,587,679,215,1019,841,252,539,604,645,865,809,749,642,574,784,114,323,677","739,278,587,679,841,215,1019,252,539,645,604,865,809,749,642,574,784,114,677,323"
118,"79,190,712,218,27,214,210,156,670,435,129,247,39,118,744,24,52,200,157,245","190,79,712,218,27,214,210,156,670,435,129,39,247,744,200,118,24,52,749,111"
119,"332,789,924,2,244,17,1182,552,809,208,1524,33,515,881,607,791,739,1315,542,61","332,789,924,244,2,809,1182,17,552,208,33,1524,515,881,791,542,739,61,607,172"
120,"247,421,322,663,744,10,39,27,85,49,135,65,185,23,6,93,210,214,767,219","247,744,421,663,85,49,39,27,65,214,23,322,210,6,185,93,98,135,10,274"
121,"715,218,214,98,219,114,377,759,587,161,274,156,995,187,513,6,93,211,768,738","715,218,214,98,219,114,377,759,587,156,161,274,995,187,513,6,768,93,738,211"
122,"63,161,79,133,98,190,59,211,218,433,93,265,156,529,278,712,149,644,897,214","63,79,161,211,59,133,98,190,218,265,433,93,156,529,712,278,149,897,644,118"
123,"60,205,983,293,756,897,123,462,489,766,75,223,151,344,1274,1299,547,1650,795,184","60,205,983,293,756,462,897,123,489,766,75,151,223,1274,547,344,1650,1299,795,184"
124,"281,168,28,86,245,129,260,124,52,247,40,49,39,284,1107,438,93,327,135,265","281,28,168,86,40,1107,245,124,438,260,129,284,52,247,39,49,327,1529,306,505"
125,"435,715,98,670,210,49,93,45,128,125,247,744,61,547,190,377,663,260,129,161","715,435,98,210,670,93,128,45,49,125,61,744,547,247,161,190,433,377,529,663"
126,"421,24,154,135,1,168,28,382,10,247,52,129,322,175,105,506,39,418,49,245","421,24,154,135,1,168,28,382,10,247,52,129,322,105,175,506,39,49,418,245"
127,"63,318,306,278,433,513,79,185,168,892,897,44,4,28,128,135,5,252,670,791","63,433,278,79,318,513,306,168,897,185,128,892,28,252,5,135,670,44,4,157"
128,"10,219,663,27,421,23,45,6,207,744,612,128,125,97,1,51,274,210,85,670","10,219,421,663,27,23,45,6,207,612,744,128,125,97,1,51,670,200,85,274"
129,"79,152,265,93,98,273,161,123,121,151,114,377,588,327,187,129,906,61,1110,39","79,152,265,161,98,273,93,121,151,123,588,114,377,187,327,906,61,129,1110,1146"
130,"61,161,278,156,744,1019,433,587,663,647,27,776,6,23,196,377,97,897,200,206","161,61,278,156,744,1019,587,433,663,647,27,776,6,23,196,377,897,97,200,87"
131,"68,382,42,421,284,49,435,322,125,8,16,93,178,172,744,318,384,1467,133,306","68,382,42,421,284,322,435,49,8,16,178,93,125,384,318,172,306,525,505,373"
132,"14,178,16,643,548,176,177,222,538,274,535,317,142,199,1211,23,139,185,51,425","14,16,178,643,176,548,538,177,274,222,535,199,317,142,1211,23,139,536,51,425"
133,"281,284,165,86,471,510,52,117,505,42,68,382,327,506,93,124,222,41,265,306","281,284,86,165,471,510,52,505,117,42,382,68,506,327,124,93,306,222,265,41"
134,"513,542,606,1146,79,278,151,126,187,49,65,218,211,5,631,215,588,138,712,39","513,542,606,1146,79,278,151,126,49,187,65,218,211,5,631,215,39,138,125,128"
135,"500,4,238,69,316,51,185,518,455,1201,513,407,520,832,534,332,940,838,350,950","500,238,4,69,316,518,51,1201,455,513,185,407,520,832,534,838,950,350,332,940"
136,"382,274,20,169,604,16,85,643,53,8,40,1536,129,34,742,24,245,41,510,15","274,382,16,169,85,20,604,643,8,53,129,40,24,1536,245,742,41,34,421,510"
137,"28,86,69,407,542,129,41,513,260,65,161,377,238,4,438,51,433,789,149,323","28,86,69,129,407,542,161,41,65,260,377,513,433,149,897,238,438,128,125,323"
138,"24,39,49,1,185,93,98,128,45,322,744,547,133,421,487,135,377,214,114,612","24,49,39,185,1,93,98,128,45,133,744,322,377,135,114,214,547,421,152,218"
139,"23,16,214,218,278,20,670,98,176,1242,133,756,749,435,738,677,421,1159,1006,647","23,214,16,218,278,20,670,98,749,133,1242,756,176,435,738,1006,647,677,1019,1159"
140,"322,154,767,1254,630,560,426,720,719,612,1196,237,727,15,48,10,1241,1,175,1450","322,767,154,1254,630,560,612,720,719,426,1,10,237,15,1196,48,727,1241,435,663"
141,"24,670,247,1,129,52,421,49,39,168,93,435,128,45,125,135,65,10,245,27","24,670,247,129,1,49,52,39,168,421,93,128,45,125,135,65,435,27,245,10"
142,"135,172,382,129,284,93,24,5,52,274,51,114,28,190,65,6,734,23,125,316","135,172,129,382,24,93,284,52,274,5,114,51,190,28,65,6,734,316,23,125"
143,"172,152,5,114,41,61,28,734,98,185,51,168,129,65,24,86,245,247,52,128","172,152,114,61,98,734,5,41,28,185,129,65,168,51,161,86,245,24,247,128"
144,"39,93,49,114,98,168,190,245,152,185,247,135,52,61,260,41,65,28,86,734","39,93,49,185,135,114,168,98,247,245,190,52,734,260,5,61,41,318,28,152"
145,"244,5,500,734,51,39,351,532,135,525,41,232,1201,264,455,733,238,284,382,332","244,5,734,500,51,39,351,264,232,532,1201,238,525,41,455,733,135,332,542,284"
146,"48,663,200,1196,8,612,42,20,598,1159,178,23,724,717,563,237,719,624,1467,1536","663,612,48,200,8,1196,1159,42,20,598,178,23,717,724,563,237,719,1536,624,1467"
147,"63,897,434,111,218,712,167,529,87,129,715,278,606,260,387,1059,117,52,28,734","63,897,218,712,529,434,111,167,278,129,715,87,260,117,606,52,734,513,1059,387"
148,"124,657,196,217,1110,720,75,897,976,574,210,777,97,1146,212,157,10,1023,840,853","124,657,196,217,1110,75,720,897,976,574,210,777,97,1146,212,853,1023,10,157,714"
149,"344,1110,1,172,187,259,124,531,293,498,542,922,830,421,96,528,169,216,714,165","344,1110,1,172,187,259,531,124,498,293,542,922,830,96,421,528,216,714,169,165"
150,"1,260,42,281,68,172,670,28,316,93,27,6,421,10,169,51,98,86,165,190","1,260,42,281,68,172,670,28,316,93,27,421,6,10,169,51,98,86,165,8"
151,"5,90,34,538,535,1182,168,244,372,86,152,274,232,318,542,306,40,139,439,513","5,90,538,34,535,1182,244,168,372,86,152,274,232,318,542,306,40,139,733,439"
152,"117,172,190,185,105,23,16,734,5,65,114,219,39,133,244,93,98,291,49,382","117,190,172,185,105,23,734,16,5,114,65,219,244,133,39,93,98,291,61,49"
153,"353,232,5,332,516,288,513,734,1151,1201,791,51,238,542,532,333,264,733,500,518","353,232,5,288,332,513,791,516,734,238,1151,264,542,1201,532,51,333,733,838,518"
154,"69,500,238,516,789,4,244,39,44,542,51,525,407,264,135,513,306,351,832,534","69,238,500,542,39,789,516,244,44,4,51,525,407,513,135,264,534,133,93,98"
155,"336,21,222,535,815,34,291,522,90,177,658,14,901,139,208,397,730,20,169,401","336,21,222,34,815,535,90,291,522,177,730,397,14,208,901,658,41,401,169,139"
156,"165,222,281,506,382,21,5,40,86,568,418,168,370,39,445,436,69,150,439,522","165,222,281,506,382,5,21,86,40,568,418,168,39,370,69,445,436,406,522,150"
157,"756,211,588,1110,1229,58,169,140,178,435,8,148,714,20,214,245,129,643,24,387","756,211,588,1229,1110,58,169,140,178,435,8,148,714,20,214,643,245,129,771,24"
158,"1254,630,339,237,719,720,322,154,48,160,717,561,612,727,1159,122,112,1284,1451,586","1254,630,719,237,339,720,322,160,717,48,154,561,122,727,112,1451,1284,1583,1466,603"
159,"51,734,69,185,500,41,244,516,4,39,238,542,172,274,382,117,318,190,407,93","51,734,69,185,500,244,4,516,41,238,542,39,318,232,407,172,274,382,117,190"
160,"61,98,278,133,734,219,190,93,125,39,128,49,23,6,274,69,210,218,63,41","98,93,133,61,125,128,49,190,39,219,6,23,278,129,734,218,24,274,247,210"
161,"1,767,435,670,276,1107,42,10,171,260,339,237,1652,1546,135,1530,830,1241,382,2012","1,767,435,670,276,1107,42,10,260,171,339,237,1546,1652,135,1530,382,1241,830,2012"
162,"59,61,133,734,5,41,539,149,65,79,105,196,135,87,86,129,45,125,156,185","61,59,734,133,5,41,539,149,65,105,79,196,135,87,353,156,185,129,45,86"
